Title,Genre,Rating,Votes,Duration
The Sabarmati Report,Thriller,6.4,25000,2h 7m
Guns & Moses,Thriller,8.0,52,1h 34m
Karma,Thriller,7.8,1400,2h 47m
Butas,Thriller,5.0,167,1h 52m
Lazareth,Thriller,4.4,962,1h 26m
The Secrets We Keep,Thriller,N/A,962,1h 30m
Ghost Trail,Thriller,6.6,903,1h 46m
King Ivory,Thriller,7.1,76,2h 10m
Sucha Soorma,Thriller,6.3,938,2h 16m
Reawakening,Thriller,6.2,352,1h 30m
Rippy,Thriller,4.2,933,1h 23m
Viduthalai Part 2,Thriller,7.8,16000,2h 50m
#AMFAD: All My Friends Are Dead,Thriller,4.5,1300,1h 31m
Ulajh,Thriller,6.0,24000,2h 30m
Cold Wallet,Thriller,5.1,551,1h 33m
McVeigh,Thriller,4.4,570,1h 30m
Stranger in the Woods,Thriller,3.5,1300,1h 22m
Shelby Oaks,Thriller,5.9,250,1h 39m
Bloodline Killer,Thriller,4.2,4900,1h 45m
Maharaj,Thriller,6.5,15000,2h 11m
American Star,Thriller,5.5,2500,1h 47m
Lights Out,Thriller,4.9,1800,1h 30m
Decoded,Thriller,5.7,451,2h 36m
Race for Glory: Audi vs. Lancia,Thriller,5.8,4900,1h 49m
The Smile Man,Thriller,7.5,1600,2h 2m
Blackout,Thriller,6.1,10000,2h 2m
CTRL,Thriller,6.2,6200,1h 39m
Cult Killer,Thriller,4.8,2800,1h 45m
Blue Lock: Episode Nagi,Thriller,6.6,2600,1h 31m
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Thriller,7.2,8700,1h 44m
Air Force One Down,Thriller,4.4,2900,1h 24m
Crescent City,Thriller,3.9,1400,1h 43m
Please Don't Feed the Children,Thriller,5.5,68,1h 34m
Boundless,Thriller,5.6,2000,2h 1m
Bosco,Thriller,5.5,4000,1h 39m
Here Now,Thriller,4.9,462,1h 58m
Merry Christmas,Thriller,6.9,30000,2h 24m
Something in the Water,Thriller,4.1,4900,1h 26m
Gazer,Thriller,6.1,181,1h 54m
Alien: Rubicon,Thriller,2.4,356,1h 26m
Cinderella's Revenge,Thriller,3.8,1200,1h 25m
A Fisherman's Tale,Thriller,6.1,136,1h 43m
Bagheera,Thriller,6.7,7400,2h 38m
Chapel,Thriller,3.3,196,1h 32m
Cinderella's Curse,Thriller,3.3,1300,1h 22m
Are You There?,Thriller,6.6,62,1h 28m
Vanished Into the Night,Thriller,5.2,4800,1h 32m
Yodha,Thriller,5.7,8900,2h 10m
Out Come the Wolves,Thriller,4.7,1600,1h 26m
Hisaab Barabar,Thriller,5.8,1900,1h 52m
Goldilocks and the Three Bears: Death and Porridge,Thriller,2.1,1800,1h 22m
Operation Valentine,Thriller,5.3,1400,2h 13m
She Came Back,Thriller,5.3,95,1h 23m
Grave Torture,Thriller,6.2,3000,1h 57m
Marmalade,Thriller,6.3,3700,1h 39m
Love Me Dead,Thriller,6.7,42,1h 27m
Why Do You?,Thriller,5.3,448,1h 43m
The Cut,Thriller,7.1,104,1h 39m
Latency,Thriller,4.2,2800,1h 34m
Raayan,Thriller,6.5,11000,2h 25m
The Paradise of Thorns,Thriller,7.6,1300,2h 11m
Wynonna Earp: Vengeance,Thriller,5.5,1600,1h 36m
Seven Cemeteries,Thriller,4.6,641,1h 24m
Transplant,Thriller,8.7,25,1h 33m
Angels Fallen: Warriors of Peace,Thriller,4.8,5800,1h 43m
Mond,Thriller,7.0,291,1h 32m
Death Whisperer 2,Thriller,6.3,1500,1h 50m
Siren,Thriller,6.4,2900,2h 34m
Vedaa,Thriller,6.0,4400,2h 25m
Soul Reaper,Thriller,5.8,302,1h 52m
72 Hours,Thriller,4.1,318,1h 27m
Freedom,Thriller,5.9,1400,1h 50m
Junction,Thriller,5.2,315,1h 38m
We Are Wolves,Thriller,3.4,265,1h 37m
Succubus,Thriller,3.5,862,1h 36m
Savi,Thriller,6.1,35000,2h 6m
Arena Wars,Thriller,4.9,2200,1h 36m
Invasion,Thriller,4.8,721,1h 31m
Mafia Wars,Thriller,3.6,264,1h 34m
Bade Miyan Chote Miyan,Thriller,3.7,39000,2h 43m
Beyond the Rush,Thriller,8.2,380,1h 34m
1978,Thriller,5.4,248,1h 16m
Footage,Thriller,5.0,2400,2h 4m
Hard Home,Thriller,4.1,684,1h 27m
Baki Hanma VS Kengan Ashura,Thriller,5.7,2000,1h 2m
Way Home,Thriller,6.6,820,1h 38m
Amongst the Wolves,Thriller,7.6,46,1h 42m
Following,Thriller,6.5,1400,1h 42m
Shadow Land,Thriller,3.5,470,1h 29m
Pins & Needles,Thriller,5.8,7,N/A
Miki,Thriller,6.6,1000,1h 46m
Peter Five Eight,Thriller,3.5,1100,1h 40m
Hombres Íntegros,Thriller,7.3,36,1h 29m
12 to Midnight,Thriller,3.6,289,1h 36m
Within the Pines,Thriller,6.7,17,1h 13m
Utopia,Thriller,3.6,381,1h 31m
Charlotte,Thriller,6.2,156,1h 26m
Taboo: Family Secrets,Thriller,7.2,751,1h 35m
Dead Money,Thriller,5.8,718,1h 40m
Love Bomb,Thriller,3.0,271,1h 15m
Cellphone,Thriller,3.0,738,1h 28m
The Thundermans Return,Thriller,5.0,1900,1h 10m
Drone,Thriller,5.5,212,1h 50m
Kanguva,Thriller,4.5,15000,2h 32m
The Stalking,Thriller,3.5,48,1h 12m
Tyler Perry's Divorce in the Black,Thriller,4.6,3600,2h 23m
Don't Mess with Grandma,Thriller,5.6,263,1h 21m
Seeds,Thriller,5.0,197,1h 22m
5lbs of Pressure,Thriller,5.2,1700,1h 51m
KA,Thriller,7.0,1700,2h 31m
Familia,Thriller,6.8,378,2h
Uninvited,Thriller,5.5,110,1h 33m
Balestra,Thriller,5.1,536,2h 25m
Model House,Thriller,4.0,1100,1h 25m
Sorop,Thriller,5.4,206,1h 43m
Haunted Heart,Thriller,4.8,496,2h 8m
Believer,Thriller,4.6,417,1h 48m
Bogota: City of the Lost,Thriller,5.4,2000,1h 48m
