Title,Genre,Rating,Votes,Duration
Three Secrets,Romance,4.2,49,1h 32m
Land of Broken Hearts,Romance,6.3,197,1h 40m
Lost & Found You,Romance,6.4,23,N/A
Love Mocktail 2,Romance,8.8,3000,2h 20m
Heart Strings,Romance,5.5,13,1h 47m
La piel en primavera,Romance,6.9,51,1h 40m
Parahuna 2,Romance,6.6,83,1h 55m
Morando com o Crush,Romance,5.4,182,1h 30m
Die Ironie des Lebens,Romance,6.6,76,1h 49m
Keshava Chandra Ramavath,Romance,6.7,78,2h 13m
Swoon,Romance,5.6,18,1h 23m
Yano-kun no Futsu no Hibi,Romance,N/A,18,1h 46m
Once Upon A Love Story,Romance,7.5,83,2h 15m
Bear Week Diaries,Romance,N/A,83,1h 14m
Buk Poketer Golpo,Romance,7.9,225,1h 35m
It's So Big It Hurts Black Oppa,Romance,5.6,9,1h 1m
Colour Palette,Romance,9.3,47,1h 27m
Artist Unknown,Romance,8.5,19,1h 22m
Vidya Vasula Aham,Romance,6.6,92,1h 42m
Rokjesnacht,Romance,4.8,235,1h 35m
A Heart for Christmas,Romance,7.6,102,1h 31m
All's Fair in Love,Romance,6.6,18,1h 55m
We Are Tourists,Romance,N/A,18,1h 37m
Yolki 11,Romance,4.7,176,1h 32m
Written by Mike,Romance,N/A,176,N/A
Kuch Sapney Apne,Romance,8.0,50,2h
DreadClub: Vampire's Verdict,Romance,4.9,62,N/A
