Title,Genre,Rating,Votes,Duration
Horror in the High Desert 3: Firewatch,Horror,5.4,752,1h 28m
Buzz House: The Movie,Horror,3.2,1300,1h 33m
Kakuda,Horror,5.4,6400,1h 56m
Hide and Seek,Horror,4.9,149,1h 24m
Dominion of Darkness,Horror,5.7,838,1h 36m
Scarytales and Deadtime Stories,Horror,5.3,9,1h 7m
Where is My Head?,Horror,6.8,82,1h 30m
Delicate Arch,Horror,5.6,44,1h 25m
H. P. Lovecraft's the Old Ones,Horror,3.6,397,1h 24m
Resident Evil Story,Horror,3.2,11,N/A
Up the Catalogue,Horror,N/A,11,N/A
Curse of the Sin Eater,Horror,4.9,783,1h 30m
Devon,Horror,2.6,301,1h 12m
Monster Mash,Horror,3.5,434,1h 25m
Biaz: Kara Iyenin Laneti,Horror,5.3,380,1h 29m
Aranmanai 4,Horror,5.0,2400,2h 28m
Gacy: Serial Killer Next Door,Horror,3.3,485,1h 37m
Remnant,Horror,2.6,323,1h 52m
House on Haunted Hill,Horror,2.7,39,N/A
Alien Country,Horror,4.4,371,1h 36m
Suckers,Horror,3.2,126,1h 7m
Nokturno,Horror,3.7,225,1h 39m
Shaman,Horror,5.9,39,1h 40m
Last Night at Terrace Lanes,Horror,4.3,642,1h 15m
What Happened to Dorothy Bell?,Horror,7.0,9,N/A
Drained,Horror,4.5,321,1h 47m
Revival,Horror,5.7,23,N/A
The Hostage,Horror,5.4,12,1h 27m
The Windigo,Horror,4.7,711,1h 25m
Salve Maria,Horror,6.4,498,1h 51m
The Monster Beneath Us,Horror,5.6,434,1h 43m
Witch,Horror,4.9,1400,1h 47m
The Ritual,Horror,3.3,15,1h 40m
Life of Belle,Horror,5.0,664,1h 13m
Sattam En Kaiyil,Horror,7.9,2300,2h 4m
Üç Harfliler: Nazar,Horror,4.8,166,1h 34m
Geethanjali Malli Vachindi,Horror,4.9,2200,2h 24m
Replicator,Horror,3.8,146,1h 15m
404 Run Run,Horror,5.7,440,1h 44m
Darling,Horror,5.3,752,2h 39m
Scared Shitless,Horror,6.1,225,1h 16m
Mother Father Sister Brother Frank,Horror,5.8,274,1h 25m
Horny Teenagers Must Die!,Horror,3.2,241,1h 24m
Tenants,Horror,4.3,119,1h 34m
Unnatural,Horror,3.7,138,1h 43m
Clickbait: Unfollowed,Horror,4.9,581,1h 30m
Snakeeater,Horror,5.3,268,1h 20m
Vampire Zombies... From Space!,Horror,7.4,102,1h 38m
Sayuri,Horror,6.3,316,1h 48m
I Heart Willie,Horror,5.9,109,1h 28m
Guna guna istri muda,Horror,5.1,194,1h 38m
My Boo,Horror,6.1,710,2h 5m
Stupid Games,Horror,4.1,396,1h 26m
(Pri)sons,Horror,5.0,286,1h 40m
Operation Undead,Horror,4.7,427,1h 50m
Kromoleo,Horror,3.9,257,1h 20m
The Prodigy,Horror,4.8,35,1h 23m
Death Streamer,Horror,3.1,229,1h 12m
Rita,Horror,5.7,286,1h 47m
Kalinga,Horror,5.9,7600,1h 56m
Members Club,Horror,4.6,170,1h 30m
Sakaratul Maut,Horror,5.4,180,1h 47m
The Redemption of Sin,Horror,5.8,218,1h 56m
Blood Debt,Horror,5.5,170,1h 40m
The Backrooms,Horror,8.1,14,1h 3m
Cara,Horror,6.7,47,1h 36m
Vina: Before 7 Days,Horror,5.4,603,1h 40m
Tsunami Sharks,Horror,2.7,88,1h 10m
A Gong,Horror,7.3,9,1h 47m
The Ghost,Horror,6.3,125,1h 32m
Pusaka,Horror,5.2,179,1h 30m
Deadbolt,Horror,4.6,330,1h 23m
The Girl Who Wore Yellow Lace,Horror,5.0,27,1h 22m
American Werewolf,Horror,2.9,117,1h 7m
Nyctophobia,Horror,2.6,165,1h 17m
Don't Open the Door,Horror,6.6,8400,1h 27m
Temurun,Horror,4.6,348,1h 26m
Silent Bite,Horror,3.7,511,1h 30m
Family,Horror,6.8,33,1h 35m
The New Purge,Horror,N/A,33,N/A
Pechi,Horror,5.5,1500,1h 50m
Five Friends,Horror,6.7,940,1h 52m
Shark Girl,Horror,2.6,174,1h 22m
Sea of Madness,Horror,6.7,27,1h 33m
Malice,Horror,2.8,35,1h 34m
Haze,Horror,6.6,50,1h 16m
Grotesque 2,Horror,6.1,586,N/A
Possessions,Horror,3.8,860,1h 29m
Witch Hunter,Horror,5.0,25,1h 20m
I'll Play Mother,Horror,5.1,93,1h 48m
Tantra,Horror,5.0,2400,2h 16m
You Shall Not Sleep Tonight,Horror,4.1,372,1h 17m
Steamboat Willie: Blood on the Water,Horror,N/A,372,N/A
Bad Fish,Horror,3.4,324,1h 24m
Possession: Kerasukan,Horror,3.6,297,1h 34m
Hello Neighbor,Horror,7.9,17,N/A
Last Stop: Rocafort St.,Horror,4.1,481,1h 29m
Father's Haunted House,Horror,5.9,339,1h 33m
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Horror,6.6,9,55m
Mandira,Horror,5.9,999,2h 1m
Do You See What I See,Horror,5.4,680,1h 49m
Mona: Jinn-2,Horror,4.2,124,2h 4m
Bloody Ishq,Horror,2.9,2200,2h 18m
Skeletons in the Closet,Horror,3.0,573,1h 32m
Wake,Horror,3.4,267,1h 25m
Dagr,Horror,4.4,2800,1h 17m
The Containment,Horror,6.2,12,N/A
Crust,Horror,6.0,242,1h 42m
Spiders on a Plane,Horror,5.0,378,1h 18m
Liu mang qu mo shi,Horror,5.7,48,1h 44m
Tenement,Horror,4.6,124,1h 28m
